size,cutoff,seed,success,time_sec,output
100,16,32,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,64,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,128,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,256,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,512,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,1024,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,2048,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,0,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,1,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,2,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,4,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,8,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,16,True,0.03,Sorting 100 elements took 0.03 seconds.
100,32,32,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,64,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,128,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,256,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,512,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,1024,True,0.02,Sorting 100 elements took 0.02 seconds.
100,32,2048,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,0,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,1,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,2,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,4,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,8,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,16,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,32,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,64,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,128,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,256,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,512,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,1024,True,0.02,Sorting 100 elements took 0.02 seconds.
100,2048,2048,True,0.02,Sorting 100 elements took 0.02 seconds.
10000,0,0,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,1,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,2,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,4,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,8,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,16,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,32,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,64,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,128,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,256,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,512,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,1024,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,0,2048,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,0,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,1,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,2,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,4,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,8,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,16,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,32,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,64,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,128,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,256,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,512,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,1024,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,1,2048,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,0,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,1,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,2,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,4,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,8,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,16,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,32,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,64,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,128,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,256,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,512,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,1024,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,2,2048,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,0,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,1,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,2,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,4,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,8,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,16,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,32,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,64,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,128,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,256,True,-1,Sorting 10000 elements took 0.00 seconds.
10000,4,512,True,0.01,Sorting 10000 elements took 0.01 seconds.
10000,4,1024,True,0.01,Sorting 10000 elements took 0.01 seconds.
10000,4,2048,True,0.01,Sorting 10000 elements took 0.01 seconds.
10000,8,0,True,0.06,Sorting 10000 elements took 0.06 seconds.
10000,8,1,True,0.05,Sorting 10000 elements took 0.05 seconds.
10000,8,2,True,0.07,Sorting 10000 elements took 0.07 seconds.
10000,8,4,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,8,8,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,8,16,True,0.05,Sorting 10000 elements took 0.05 seconds.
10000,8,32,True,0.05,Sorting 10000 elements took 0.05 seconds.
10000,8,64,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,8,128,True,0.05,Sorting 10000 elements took 0.05 seconds.
10000,8,256,True,0.05,Sorting 10000 elements took 0.05 seconds.
10000,8,512,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,8,1024,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,8,2048,True,0.04,Sorting 10000 elements took 0.04 seconds.
10000,16,0,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,16,1,True,0.17,Sorting 10000 elements took 0.17 seconds.
10000,16,2,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,16,4,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,16,8,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,16,16,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,16,32,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,16,64,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,16,128,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,16,256,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,16,512,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,16,1024,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,16,2048,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,0,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,32,1,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,32,2,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,4,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,32,8,True,0.16,Sorting 10000 elements took 0.16 seconds.
10000,32,16,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,32,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,64,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,128,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,32,256,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,32,512,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,32,1024,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,32,2048,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,2048,0,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,1,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,2048,2,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,4,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,2048,8,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,16,True,0.13,Sorting 10000 elements took 0.13 seconds.
10000,2048,32,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,64,True,0.14,Sorting 10000 elements took 0.14 seconds.
10000,2048,128,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,2048,256,True,0.12,Sorting 10000 elements took 0.12 seconds.
10000,2048,512,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,1024,True,0.11,Sorting 10000 elements took 0.11 seconds.
10000,2048,2048,True,0.11,Sorting 10000 elements took 0.11 seconds.
1000000,0,0,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,0,1,True,0.28,Sorting 1000000 elements took 0.28 seconds.
1000000,0,2,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,0,4,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,0,8,True,0.37,Sorting 1000000 elements took 0.37 seconds.
1000000,0,16,True,0.26,Sorting 1000000 elements took 0.26 seconds.
1000000,0,32,True,0.26,Sorting 1000000 elements took 0.26 seconds.
1000000,0,64,True,0.25,Sorting 1000000 elements took 0.25 seconds.
1000000,0,128,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,0,256,True,0.28,Sorting 1000000 elements took 0.28 seconds.
1000000,0,512,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,0,1024,True,0.27,Sorting 1000000 elements took 0.27 seconds.
1000000,0,2048,True,0.26,Sorting 1000000 elements took 0.26 seconds.
1000000,1,0,True,0.16,Sorting 1000000 elements took 0.16 seconds.
1000000,1,1,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,2,True,0.14,Sorting 1000000 elements took 0.14 seconds.
1000000,1,4,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,8,True,0.16,Sorting 1000000 elements took 0.16 seconds.
1000000,1,16,True,0.14,Sorting 1000000 elements took 0.14 seconds.
1000000,1,32,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,64,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,128,True,0.16,Sorting 1000000 elements took 0.16 seconds.
1000000,1,256,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,512,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,1,1024,True,1.92,Sorting 1000000 elements took 1.92 seconds.
1000000,1,2048,True,0.16,Sorting 1000000 elements took 0.16 seconds.
1000000,2,0,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,1,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,2,2,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,2,4,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,8,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,2,16,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,2,32,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,64,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,128,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,256,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,2,512,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,2,1024,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,2,2048,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,4,0,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,4,1,True,0.08,Sorting 1000000 elements took 0.08 seconds.
1000000,4,2,True,0.07,Sorting 1000000 elements took 0.07 seconds.
1000000,4,4,True,0.07,Sorting 1000000 elements took 0.07 seconds.
1000000,4,8,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,4,16,True,0.07,Sorting 1000000 elements took 0.07 seconds.
1000000,4,32,True,0.07,Sorting 1000000 elements took 0.07 seconds.
1000000,4,64,True,0.12,Sorting 1000000 elements took 0.12 seconds.
1000000,4,128,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,4,256,True,0.08,Sorting 1000000 elements took 0.08 seconds.
1000000,4,512,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,4,1024,True,0.07,Sorting 1000000 elements took 0.07 seconds.
1000000,4,2048,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,8,0,True,0.12,Sorting 1000000 elements took 0.12 seconds.
1000000,8,1,True,0.11,Sorting 1000000 elements took 0.11 seconds.
1000000,8,2,True,0.14,Sorting 1000000 elements took 0.14 seconds.
1000000,8,4,True,0.1,Sorting 1000000 elements took 0.10 seconds.
